rank,teamname
1,Feyenoord
2,PSV Eindhoven
3,Ajax
4,AZ Alkmaar
5,Twente
6,Sparta Rotterdam
7,Utrecht
8,Heerenveen
9,Waalwijk
10,Vitesse
11,GO Ahead Eagles
12,NEC Nijmegen
13,Fortuna Sittard
14,FC Volendam
15,Excelsior
16,Emmen
17,Cambuur
18,Groningen
1,Genk
2,Union St. Gilloise
3,Antwerp
4,Club Brugge KV
5,Gent
6,Standard Liege
7,KVC Westerlo
8,Cercle Brugge
9,Charleroi
10,OH Leuven
11,Anderlecht
12,St. Truiden
13,KV Mechelen
14,Kortrijk
15,AS Eupen
16,Oostende
17,Zulte Waregem
18,Seraing United
1,Manchester City
2,Arsenal
3,Manchester United
4,Newcastle
5,Liverpool
6,Brighton
7,Aston Villa
8,Tottenham
9,Brentford
10,Fulham
11,Crystal Palace
12,Chelsea
13,Wolves
14,West Ham
15,Bournemouth
16,Nottingham Forest
17,Everton
18,Leicester
19,Leeds
20,Southampton
